deputy_id,state,email,political_party,photo_url
220593,MT,,PL,https://www.camara.leg.br/internet/deputado/bandep/220593.jpg
204379,AP,dep.acaciofavacho@camara.leg.br,MDB,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg
220714,AM,dep.adailfilho@camara.leg.br,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220714.jpg
221328,SP,dep.adilsonbarroso@camara.leg.br,PL,https://www.camara.leg.br/internet/deputado/bandep/221328.jpg
204560,BA,dep.adolfoviana@camara.leg.br,PSDB,https://www.camara.leg.br/internet/deputado/bandep/204560.jpg
204528,SP,dep.adrianaventura@camara.leg.br,NOVO,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg
121948,GO,dep.adrianodobaldy@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/121948.jpg
74646,MG,dep.aecioneves@camara.leg.br,PSDB,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg
160508,BA,,PT,https://www.camara.leg.br/internet/deputado/bandep/160508.jpg
136811,RS,dep.afonsohamm@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg
178835,RS,dep.afonsomotta@camara.leg.br,PDT,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
160527,PB,dep.aguinaldoribeiro@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
204495,PA,dep.airtonfaleiro@camara.leg.br,PT,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg
204549,CE,dep.ajalbuquerque@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
73579,DF,dep.albertofraga@camara.leg.br,PL,https://www.camara.leg.br/internet/deputado/bandep/73579.jpg
74696,SP,,MDB,https://www.camara.leg.br/internet/deputado/bandep/74696.jpg
220538,RR,dep.albuquerque@camara.leg.br,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220538.jpg
160559,RS,dep.alceumoreira@camara.leg.br,MDB,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
204501,SP,dep.alencarsantana@camara.leg.br,PT,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
178972,SP,dep.alexmanente@camara.leg.br,CIDADANIA,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg
204571,BA,dep.alexsantana@camara.leg.br,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/204571.jpg
220542,TO,dep.alexandreguimaraes@camara.leg.br,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220542.jpg
160545,SP,dep.alexandreleite@camara.leg.br,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/160545.jpg
220554,RS,dep.alexandrelindenmeyer@camara.leg.br,PT,https://www.camara.leg.br/internet/deputado/bandep/220554.jpg
204503,SP,,PT,https://www.camara.leg.br/internet/deputado/bandep/204503.jpg
221148,SP,dep.alfredinho@camara.leg.br,PT,https://www.camara.leg.br/internet/deputado/bandep/221148.jpg
220576,AL,dep.alfredogaspar@camara.leg.br,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220576.jpg
74057,BA,dep.aliceportugal@camara.leg.br,PCdoB,https://www.camara.leg.br/internet/deputado/bandep/74057.jpg
178927,PR,dep.alielmachado@camara.leg.br,PV,https://www.camara.leg.br/internet/deputado/bandep/178927.jpg
226708,MA,dep.allangarces@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/226708.jpg
178937,RJ,dep.altineucortes@camara.leg.br,PL,https://www.camara.leg.br/internet/deputado/bandep/178937.jpg
178881,MA,dep.aluisiomendes@camara.leg.br,PSC,https://www.camara.leg.br/internet/deputado/bandep/178881.jpg
220596,MT,,PL,https://www.camara.leg.br/internet/deputado/bandep/220596.jpg
220707,MA,dep.amandagentil@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/220707.jpg
204356,ES,dep.amaroneto@camara.leg.br,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/204356.jpg
220715,AM,dep.amommandel@camara.leg.br,CIDADANIA,https://www.camara.leg.br/internet/deputado/bandep/220715.jpg
107970,MG,dep.anapaulaleao@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/107970.jpg
220556,SC,dep.anapaulalima@camara.leg.br,PT,https://www.camara.leg.br/internet/deputado/bandep/220556.jpg
220632,MG,dep.anapimentel@camara.leg.br,PT,https://www.camara.leg.br/internet/deputado/bandep/220632.jpg
220657,CE,dep.andrefernandes@camara.leg.br,PL,https://www.camara.leg.br/internet/deputado/bandep/220657.jpg
204423,PE,dep.andreferreira@camara.leg.br,PL,https://www.camara.leg.br/internet/deputado/bandep/204423.jpg
133439,CE,dep.andrefigueiredo@camara.leg.br,PDT,https://www.camara.leg.br/internet/deputado/bandep/133439.jpg
178882,MA,,PP,https://www.camara.leg.br/internet/deputado/bandep/178882.jpg
204515,MG,dep.andrejanones@camara.leg.br,AVANTE,https://www.camara.leg.br/internet/deputado/bandep/204515.jpg
220676,PA,dep.andreiasiqueira@camara.leg.br,MDB,https://www.camara.leg.br/internet/deputado/bandep/220676.jpg
123756,AC,dep.antonialucia@camara.leg.br,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/123756.jpg
220544,TO,dep.antonioandrade@camara.leg.br,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220544.jpg
160553,BA,dep.antoniobrito@camara.leg.br,PSD,https://www.camara.leg.br/internet/deputado/bandep/160553.jpg
220638,SP,dep.antoniocarlosrodrigues@camara.leg.br,PL,https://www.camara.leg.br/internet/deputado/bandep/220638.jpg
220675,PA,dep.antoniodoido@camara.leg.br,MDB,https://www.camara.leg.br/internet/deputado/bandep/220675.jpg
220549,RS,dep.anyortiz@camara.leg.br,CIDADANIA,https://www.camara.leg.br/internet/deputado/bandep/220549.jpg
73433,SP,dep.arlindochinaglia@camara.leg.br,PT,https://www.camara.leg.br/internet/deputado/bandep/73433.jpg
141391,SP,dep.arnaldojardim@camara.leg.br,CIDADANIA,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
160541,AL,dep.arthurlira@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/160541.jpg
160600,BA,dep.arthuroliveiramaia@camara.leg.br,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg
74090,AM,dep.atilalins@camara.leg.br,PSD,https://www.camara.leg.br/internet/deputado/bandep/74090.jpg
123086,PI,dep.atilalira@camara.leg.br,PP,https://www.camara.leg.br/internet/deputado/bandep/123086.jpg
160665,PE,dep.augustocoutinho@camara.leg.br,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/160665.jpg
220577,AP,dep.augustopuppio@camara.leg.br,MDB,https://www.camara.leg.br/internet/deputado/bandep/220577.jpg
160512,RJ,dep.aureoribeiro@camara.leg.br,SOLIDARIEDADE,https://www.camara.leg.br/internet/deputado/bandep/160512.jpg
69871,BA,dep.bacelar@camara.leg.br,PV,https://www.camara.leg.br/internet/deputado/bandep/69871.jpg
178975,SP,dep.baleiarossi@camara.leg.br,MDB,https://www.camara.leg.br/internet/deputado/bandep/178975.jpg
220605,RJ,dep.bandeirademello@camara.leg.br,PSB,https://www.camara.leg.br/internet/deputado/bandep/220605.jpg
220612,RJ,dep.bebeto@camara.leg.br,PTB,https://www.camara.leg.br/internet/deputado/bandep/220612.jpg
