deputy_id,year,timestamp,presencas,ausencias_justificadas,ausencias_nao_justificadas,total_dias,taxa_presenca
220593,2024,2025-02-19 11:40:22.70847,60,25,2,87,68.97
204379,2024,2025-02-19 11:40:22.70847,75,5,7,87,86.21
220714,2024,2025-02-19 11:40:22.70847,85,1,1,87,97.7
221328,2024,2025-02-19 11:40:22.70847,82,0,1,83,98.8
204560,2024,2025-02-19 11:40:22.70847,70,17,0,87,80.46
204528,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
121948,2024,2025-02-19 11:40:22.70847,82,3,2,87,94.25
74646,2024,2025-02-19 11:40:22.70847,69,18,0,87,79.31
160508,2024,2025-02-19 11:40:22.70847,2,0,2,4,50.0
136811,2024,2025-02-19 11:40:22.70847,80,7,0,87,91.95
178835,2024,2025-02-19 11:40:22.70847,85,2,0,87,97.7
160527,2024,2025-02-19 11:40:22.70847,80,7,0,87,91.95
204495,2024,2025-02-19 11:40:22.70847,80,0,7,87,91.95
204549,2024,2025-02-19 11:40:22.70847,70,12,5,87,80.46
73579,2024,2025-02-19 11:40:22.70847,85,1,1,87,97.7
74696,2024,2025-02-19 11:40:22.70847,58,18,11,87,66.67
220538,2024,2025-02-19 11:40:22.70847,74,13,0,87,85.06
160559,2024,2025-02-19 11:40:22.70847,81,5,1,87,93.1
204501,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
178972,2024,2025-02-19 11:40:22.70847,86,1,0,87,98.85
204571,2024,2025-02-19 11:40:22.70847,86,0,1,87,98.85
220542,2024,2025-02-19 11:40:22.70847,72,15,0,87,82.76
160545,2024,2025-02-19 11:40:22.70847,85,2,0,87,97.7
220554,2024,2025-02-19 11:40:22.70847,82,4,1,87,94.25
204503,2024,2025-02-19 11:40:22.70847,0,0,0,0,
221148,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
220576,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
74057,2024,2025-02-19 11:40:22.70847,84,3,0,87,96.55
178927,2024,2025-02-19 11:40:22.70847,71,10,6,87,81.61
226708,2024,2025-02-19 11:40:22.70847,79,4,1,84,94.05
178937,2024,2025-02-19 11:40:22.70847,75,12,0,87,86.21
178881,2024,2025-02-19 11:40:22.70847,68,3,0,71,95.77
220596,2024,2025-02-19 11:40:22.70847,22,4,0,26,84.62
220707,2024,2025-02-19 11:40:22.70847,54,0,0,54,100.0
204356,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
220715,2024,2025-02-19 11:40:22.70847,83,3,1,87,95.4
107970,2024,2025-02-19 11:40:22.70847,81,6,0,87,93.1
220556,2024,2025-02-19 11:40:22.70847,86,0,1,87,98.85
220632,2024,2025-02-19 11:40:22.70847,86,1,0,87,98.85
220657,2024,2025-02-19 11:40:22.70847,53,0,4,57,92.98
204423,2024,2025-02-19 11:40:22.70847,64,23,0,87,73.56
133439,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
178882,2024,2025-02-19 11:40:22.70847,2,0,1,3,66.67
204515,2024,2025-02-19 11:40:22.70847,85,2,0,87,97.7
220676,2024,2025-02-19 11:40:22.70847,61,25,1,87,70.11
123756,2024,2025-02-19 11:40:22.70847,79,0,8,87,90.8
220544,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
160553,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
220638,2024,2025-02-19 11:40:22.70847,87,0,0,87,100.0
220675,2024,2025-02-19 11:40:22.70847,78,7,2,87,89.66
220549,2024,2025-02-19 11:42:43.361114,82,5,0,87,94.25
73433,2024,2025-02-19 11:42:43.361114,87,0,0,87,100.0
141391,2024,2025-02-19 11:42:43.361114,84,3,0,87,96.55
160541,2024,2025-02-19 11:42:43.361114,84,3,0,87,96.55
160600,2024,2025-02-19 11:42:43.361114,68,18,1,87,78.16
74090,2024,2025-02-19 11:42:43.361114,83,2,2,87,95.4
123086,2024,2025-02-19 11:42:43.361114,84,2,1,87,96.55
160665,2024,2025-02-19 11:42:43.361114,82,1,4,87,94.25
220577,2024,2025-02-19 11:42:43.361114,76,8,3,87,87.36
160512,2024,2025-02-19 11:42:43.361114,0,0,0,0,
69871,2024,2025-02-19 11:42:43.361114,80,3,4,87,91.95
178975,2024,2025-02-19 11:42:43.361114,71,16,0,87,81.61
220605,2024,2025-02-19 11:42:43.361114,84,3,0,87,96.55
220612,2024,2025-02-19 11:42:43.361114,87,0,0,87,100.0
73701,2024,2025-02-19 11:42:43.361114,81,5,1,87,93.1
109429,2024,2025-02-19 11:42:43.361114,87,0,0,87,100.0
204358,2024,2025-02-19 11:42:43.361114,85,2,0,87,97.7
220698,2024,2025-02-19 11:42:43.361114,34,1,1,36,94.44
220683,2024,2025-02-19 11:42:43.361114,81,6,0,87,93.1
204374,2024,2025-02-19 11:42:43.361114,82,5,0,87,94.25
204388,2024,2025-02-19 11:42:43.361114,86,1,0,87,98.85
160538,2024,2025-02-19 11:42:43.361114,86,1,0,87,98.85
74052,2024,2025-02-19 11:42:43.361114,23,0,0,23,100.0
210989,2024,2025-02-19 11:42:43.361114,75,12,0,87,86.21
220635,2024,2025-02-19 11:42:43.361114,82,5,0,87,94.25
220574,2024,2025-02-19 11:42:43.361114,87,0,0,87,100.0
143942,2024,2025-02-19 11:42:43.361114,16,0,0,16,100.0
220548,2024,2025-02-19 11:42:43.361114,82,1,4,87,94.25
204572,2024,2025-02-19 11:42:43.361114,83,1,3,87,95.4
220690,2024,2025-02-19 11:42:43.361114,84,2,1,87,96.55
178829,2024,2025-02-19 11:42:43.361114,87,0,0,87,100.0
229069,2024,2025-02-19 11:42:43.361114,24,0,0,24,100.0
229106,2024,2025-02-19 11:42:43.361114,23,0,0,23,100.0
213762,2024,2025-02-19 11:42:43.361114,0,0,0,0,
204507,2024,2025-02-19 11:42:43.361114,84,3,0,87,96.55
204361,2024,2025-02-19 11:42:43.361114,57,4,5,66,86.36
178962,2024,2025-02-19 11:42:43.361114,4,0,0,4,100.0
178993,2024,2025-02-19 11:42:43.361114,85,0,2,87,97.7
204460,2024,2025-02-19 11:42:43.361114,50,4,0,54,92.59
74262,2024,2025-02-19 11:42:43.361114,79,8,0,87,90.8
204426,2024,2025-02-19 11:42:43.361114,87,0,0,87,100.0
141398,2024,2025-02-19 11:42:43.361114,84,2,1,87,96.55
164360,2024,2025-02-19 11:42:43.361114,50,2,1,53,94.34
220704,2024,2025-02-19 11:42:43.361114,78,7,2,87,89.66
204369,2024,2025-02-19 11:42:43.361114,85,1,1,87,97.7
220699,2024,2025-02-19 11:42:43.361114,82,5,0,87,94.25
206018,2024,2025-02-19 11:42:43.361114,72,10,5,87,82.76
178876,2024,2025-02-19 11:42:43.361114,78,9,0,87,89.66
204488,2024,2025-02-19 11:42:43.361114,72,0,9,81,88.89
73441,2024,2025-02-19 11:42:43.361114,86,1,0,87,98.85
204496,2024,2025-02-19 11:45:00.071742,3,0,0,3,100.0
204504,2024,2025-02-19 11:45:00.071742,80,0,7,87,91.95
205476,2024,2025-02-19 11:45:00.071742,82,0,1,83,98.8
74171,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
204476,2024,2025-02-19 11:45:00.071742,12,2,73,87,13.79
204462,2024,2025-02-19 11:45:00.071742,85,1,1,87,97.7
220665,2024,2025-02-19 11:45:00.071742,58,2,2,62,93.55
74537,2024,2025-02-19 11:45:00.071742,81,6,0,87,93.1
141408,2024,2025-02-19 11:45:00.071742,81,5,1,87,93.1
88256,2024,2025-02-19 11:45:00.071742,78,8,1,87,89.66
98148,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
220594,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
204378,2024,2025-02-19 11:45:00.071742,85,0,2,87,97.7
220595,2024,2025-02-19 11:45:00.071742,75,12,0,87,86.21
220666,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
222142,2024,2025-02-19 11:45:00.071742,47,0,0,47,100.0
220590,2024,2025-02-19 11:45:00.071742,84,3,0,87,96.55
178963,2024,2025-02-19 11:45:00.071742,79,4,4,87,90.8
220608,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
204355,2024,2025-02-19 11:45:00.071742,83,2,2,87,95.4
141411,2024,2025-02-19 11:45:00.071742,79,8,0,87,90.8
220555,2024,2025-02-19 11:45:00.071742,80,7,0,87,91.95
220692,2024,2025-02-19 11:45:00.071742,77,5,5,87,88.51
74467,2024,2025-02-19 11:45:00.071742,77,6,4,87,88.51
220629,2024,2025-02-19 11:45:00.071742,83,1,3,87,95.4
220603,2024,2025-02-19 11:45:00.071742,74,13,0,87,85.06
220571,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
74060,2024,2025-02-19 11:45:00.071742,86,0,1,87,98.85
220582,2024,2025-02-19 11:45:00.071742,74,4,9,87,85.06
204367,2024,2025-02-19 11:45:00.071742,79,4,4,87,90.8
228941,2024,2025-02-19 11:45:00.071742,25,0,1,26,96.15
220614,2024,2025-02-19 11:45:00.071742,30,0,0,30,100.0
204409,2024,2025-02-19 11:45:00.071742,86,0,1,87,98.85
204459,2024,2025-02-19 11:45:00.071742,83,0,4,87,95.4
220557,2024,2025-02-19 11:45:00.071742,86,1,0,87,98.85
62881,2024,2025-02-19 11:45:00.071742,79,5,3,87,90.8
160552,2024,2025-02-19 11:45:00.071742,14,5,4,23,60.87
