deputy_id,name,party,state,email,photo_url,idLegislatura
220593,Abilio Brunini,PL,MT,,https://www.camara.leg.br/internet/deputado/bandep/220593.jpg,57
204379,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg,57
220714,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/220714.jpg,57
221328,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/221328.jpg,57
204560,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/204560.jpg,57
204528,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg,57
121948,Adriano do Baldy,PP,GO,dep.adrianodobaldy@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/121948.jpg,57
74646,Aécio Neves,PSDB,MG,dep.aecioneves@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg,57
160508,Afonso Florence,PT,BA,,https://www.camara.leg.br/internet/deputado/bandep/160508.jpg,57
136811,Afonso Hamm,PP,RS,dep.afonsohamm@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg,57
178835,Afonso Motta,PDT,RS,dep.afonsomotta@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg,57
160527,Aguinaldo Ribeiro,PP,PB,dep.aguinaldoribeiro@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg,57
204495,Airton Faleiro,PT,PA,dep.airtonfaleiro@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg,57
204549,AJ Albuquerque,PP,CE,dep.ajalbuquerque@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg,57
73579,Alberto Fraga,PL,DF,dep.albertofraga@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/73579.jpg,57
74696,Alberto Mourão,MDB,SP,,https://www.camara.leg.br/internet/deputado/bandep/74696.jpg,57
220538,Albuquerque,REPUBLICANOS,RR,dep.albuquerque@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/220538.jpg,57
160559,Alceu Moreira,MDB,RS,dep.alceumoreira@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg,57
204501,Alencar Santana,PT,SP,dep.alencarsantana@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg,57
178972,Alex Manente,CIDADANIA,SP,dep.alexmanente@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg,57
204571,Alex Santana,REPUBLICANOS,BA,dep.alexsantana@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/204571.jpg,57
220542,Alexandre Guimarães,REPUBLICANOS,TO,dep.alexandreguimaraes@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/220542.jpg,57
160545,Alexandre Leite,UNIÃO,SP,dep.alexandreleite@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/160545.jpg,57
220554,Alexandre Lindenmeyer,PT,RS,dep.alexandrelindenmeyer@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/220554.jpg,57
204503,Alexandre Padilha,PT,SP,,https://www.camara.leg.br/internet/deputado/bandep/204503.jpg,57
221148,Alfredinho,PT,SP,dep.alfredinho@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/221148.jpg,57
220576,Alfredo Gaspar,UNIÃO,AL,dep.alfredogaspar@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/220576.jpg,57
74057,Alice Portugal,PCdoB,BA,dep.aliceportugal@camara.leg.br,https://www.camara.leg.br/internet/deputado/bandep/74057.jpg,57
